Id,SalePrice
1461,140828.6162291309
1462,153360.44717804005
1463,152981.09328813618
1464,192370.08158722462
1465,229780.37225165195
1466,189205.97813399322
1467,176885.9850425336
1468,187466.69848972536
1469,196481.6705097357
1470,94560.87577125872
1471,202747.18118078797
1472,142767.75015926594
1473,128022.7303521256
1474,173897.02989758446
1475,164883.75552652322
1476,337162.09672668204
1477,283118.98241248867
1478,302434.9102601955
1479,280812.41805656254
1480,348839.48547491257
1481,274231.61658023787
1482,242685.39832541044
1483,180782.39362314378
1484,210585.6594203472
1485,218523.65874113457
1486,220625.10864006286
1487,286346.80281018326
1488,272084.5422474664
1489,204966.17138257285
1490,187023.06301996112
1491,234668.45213967457
1492,111380.55141441908
1493,185779.22550732945
1494,293948.3447650088
1495,268985.97477322293
1496,214478.12233642407
1497,187312.96232995705
1498,191231.13813473238
1499,191231.13813473238
1500,162375.11221898394
1501,169369.8539673452
1502,191999.28404337168
1503,267864.72914893716
1504,258854.08557812427
1505,219707.8715518189
1506,199532.0436703061
1507,224806.94052938442
1508,204291.2653172909
1509,180062.94368181122
1510,142027.1709181564
1511,142918.69511770178
1512,147687.73706176504
1513,195277.4104995688
1514,147828.95227790636
1515,147271.70680421544
1516,169288.22773474036
1517,144761.75100340392
1518,170779.52114481456
1519,232282.58584314864
1520,124249.7000624215
1521,124504.42126229161
1522,166194.74849048187
1523,80729.45688350184
1524,101540.03442367271
1525,112260.05539788632
1526,110401.37977174134
1527,91639.65652429732
1528,138019.64046939986
1529,140140.6557733044
1530,177993.35225511447
1531,108406.02490221639
1532,79629.21870259382
1533,143655.01919860498
1534,143760.68776355544
1535,127956.96006664517
1536,114916.64541938936
1537,51596.74298153189
1538,209988.90127812454
1539,237001.0363382029
1540,156381.8263567026
1541,168634.58472338365
1542,136291.11474433297
1543,195222.949216787
1544,58149.044168204186
1545,133215.77845312853
1546,170091.23036008328
1547,126452.52672159835
1548,150853.05826962856
1549,132242.5161873022
1550,146849.87520311202
1551,132260.6105981113
1552,137741.45187980914
1553,128321.36878499028
1554,135426.56973036332
1555,153161.2327167507
1556,105567.58825125021
1557,89171.17244965606
1558,132893.39464426204
1559,68854.1447176052
1560,139924.68838726333
1561,98384.58552298648
1562,122086.69649353414
